Company ID,Seed Date,Seed Investor IDs,Seed Investors
106988-59,08/11/2015,105953-14,Investor 617
107001-46,10/14/2013,106088-23,Investor 822
107032-51,03/01/2014,105501-25;106125-94,Investor 433;Investor 891
107035-30,08/05/2015,10052-20;10134-73,Investor 69;Investor 156
107036-65,12/19/2013,106097-68,Investor 839
107120-62,01/15/2015,105863-95,Investor 494
107140-42,03/01/2016,10025-47,Investor 30
107147-08,01/05/2016,10139-41,Investor 161
107239-87,08/24/2016,10139-41,Investor 161
107241-40,04/30/2007,105616-00,Investor 440
107326-36,01/03/2017,10293-04,Investor 270
107410-33,09/20/2016,103211-47,Investor 282
107452-90,04/02/2015,106070-32,Investor 799
107512-21,12/01/2014,102495-16;105884-29;105974-83,Investor 254;Investor 518;Investor 654
107514-73,08/25/2016,105953-14,Investor 617
107565-40,01/27/2015,10139-41;10463-23;105967-72;105986-62;106097-68,Investor 161;Investor 389;Investor 641;Investor 672;Investor 839
107570-35,01/26/2015,10134-73;10195-75,Investor 156;Investor 211
107588-26,08/01/2012,106042-87,Investor 757
107634-25,07/13/2015,10322-83,Investor 283
107722-81,07/01/2014,106070-32,Investor 799
107729-29,02/01/2015,106053-40,Investor 774
107733-16,03/25/2015,105880-24,Investor 512
107762-50,02/11/2011,10241-02,Investor 240
107770-60,02/03/2015,10134-73;105862-33,Investor 156;Investor 491
107780-14,05/19/2015,10134-73,Investor 156
107820-46,02/04/2015,106114-06,Investor 866
107834-68,11/26/2014,105849-28;105949-45;105964-84;106009-93;106042-60;106064-47;106124-41,Investor 474;Investor 610;Investor 636;Investor 703;Investor 756;Investor 792;Investor 886
107864-29,02/03/2015,105890-77,Investor 532
107992-36,04/13/2015,105974-83,Investor 654
108060-49,03/14/2016,105884-65;105985-63;106060-60,Investor 520;Investor 671;Investor 786
108107-02,02/11/2015,105939-37,Investor 594
108164-44,08/19/2008,10070-83,Investor 102
108255-16,04/22/2015,106022-53,Investor 726
108285-40,02/17/2015,106049-71,Investor 769
108312-22,06/08/2015,105928-21;105995-17;106042-87;106091-65,Investor 577;Investor 682;Investor 757;Investor 828
108314-56,03/05/2013,105983-47,Investor 667
108339-49,10/23/2015,10123-03;105859-36;105884-65;105974-65;105983-38;106012-27;106054-30;106060-15;106060-60,Investor 151;Investor 489;Investor 520;Investor 653;Investor 666;Investor 706;Investor 775;Investor 784;Investor 786
10837-18,07/14/2014,100085-59;10367-47,Investor 2;Investor 314
108389-08,09/16/2014,105974-65;106000-21;106118-74,Investor 653;Investor 689;Investor 878
108422-83,11/17/2015,105884-65;106008-13;106060-60;106093-90,Investor 520;Investor 700;Investor 786;Investor 834
108593-92,01/17/2017,105971-86,Investor 647
108607-87,02/27/2015,105858-55,Investor 486
108610-30,03/31/2016,106102-63,Investor 849
10862-02,04/29/2008,10052-20,Investor 69
108630-82,11/04/2014,10322-83,Investor 283
10866-79,08/08/2012,10133-20;106015-42;106053-40;106093-90,Investor 155;Investor 712;Investor 774;Investor 834
108676-63,04/21/2016,10123-03;106055-20,Investor 151;Investor 777
108690-13,07/15/2013,105999-22,Investor 686
108751-60,01/30/2014,105884-29,Investor 518
108783-55,06/11/2015,105974-65;106054-30,Investor 653;Investor 775
108812-71,08/15/2016,106035-13,Investor 742
108907-84,01/09/2015,105967-54,Investor 640
108919-72,04/15/2015,105942-88,Investor 601
108985-69,09/15/2014,101659-42,Investor 184
109056-61,11/01/2014,105928-21,Investor 577
109072-18,02/18/2016,10553-05,Investor 435
109192-24,03/01/2014,105616-00,Investor 440
109216-27,06/01/2013,105927-94;106126-84,Investor 575;Investor 893
109472-68,02/27/2015,105849-91,Investor 475
109507-42,08/24/2015,105907-15,Investor 553
109526-14,02/26/2015,106022-53,Investor 726
109684-90,11/17/2015,10196-83,Investor 212
109726-84,07/01/2015,101642-77,Investor 181
109743-49,03/05/2015,105884-65;105891-31;105968-71;106060-60,Investor 520;Investor 535;Investor 642;Investor 786
109766-26,03/09/2015,105900-94,Investor 545
109782-01,06/01/2015,106083-73,Investor 817
109789-57,01/24/2017,10331-11;105951-88;106033-87;106054-30,Investor 291;Investor 614;Investor 740;Investor 775
109837-99,03/10/2015,101655-82,Investor 183
109995-22,10/21/2011,10107-10,Investor 137
11020-06,01/08/2007,10121-86;10144-09,Investor 150;Investor 166
110201-50,06/25/2012,105938-65;105947-47;105953-14;105965-56;105976-54;106025-23,Investor 592;Investor 606;Investor 617;Investor 637;Investor 657;Investor 731
110207-71,11/02/2014,10139-41,Investor 161
110391-40,08/18/2016,105863-95,Investor 494
110415-25,12/23/2014,101830-69,Investor 198
110487-43,03/24/2015,10123-03,Investor 151
110488-15,03/24/2015,10120-87;10123-03;105907-15,Investor 148;Investor 151;Investor 553
110488-87,03/24/2015,105934-24,Investor 587
