Company ID,Seed Date,Seed Investor IDs,Seed Investors
120863-80,01/05/2016,106019-92;106070-32,Investor 720;Investor 799
12088-90,12/14/2007,10121-86,Investor 150
120926-26,01/29/2016,105953-14,Investor 617
120927-25,08/24/2015,105885-46;106054-30,Investor 521;Investor 775
120939-31,04/21/2016,106054-39,Investor 776
120989-35,08/11/2015,10134-73,Investor 156
12115-36,05/20/2008,106116-94,Investor 872
121263-85,01/05/2016,100841-59,Investor 119
121379-23,04/22/2016,106022-53,Investor 726
121399-30,08/20/2015,105976-54;105984-19,Investor 657;Investor 670
121424-05,07/06/2016,105887-17,Investor 525
121453-03,08/29/2016,102197-62,Investor 221
121504-15,01/10/2017,105968-71;106103-89,Investor 642;Investor 850
121505-41,11/05/2015,10133-20,Investor 155
121560-67,04/06/2016,10357-03;105872-95,Investor 307;Investor 502
121587-49,08/12/2015,105847-84,Investor 470
121588-48,07/07/2016,105899-14,Investor 544
121722-85,10/13/2015,101903-14;105847-84;105876-64,Investor 205;Investor 470;Investor 508
121722-94,04/30/2016,100153-81,Investor 12
12175-21,11/18/2009,10168-66,Investor 186
121750-39,02/01/2015,106009-48,Investor 702
121789-81,11/12/2015,105949-45;105974-83;106067-89;106102-00;106124-41,Investor 610;Investor 654;Investor 795;Investor 848;Investor 886
121817-44,01/20/2014,106070-86,Investor 802
121968-10,08/12/2015,105952-33,Investor 615
122104-90,11/12/2015,103892-68,Investor 331
122189-05,05/31/2015,105914-62,Investor 560
122214-43,03/08/2015,10322-83,Investor 283
12222-64,03/05/2007,10249-48,Investor 253
122348-08,03/03/2015,102376-00,Investor 237
12237-31,09/01/2007,10241-38,Investor 241
12238-57,01/11/2007,10241-38,Investor 241
122450-41,10/15/2015,106015-96,Investor 713
122540-32,05/01/2014,105884-29,Investor 518
122551-48,03/01/2012,105884-29,Investor 518
122576-14,06/08/2016,10322-83,Investor 283
122600-35,09/22/2015,105848-92,Investor 473
12274-12,07/23/2010,10364-77,Investor 311
12277-63,09/10/2010,10388-17,Investor 327
122804-65,05/10/2016,100104-04;100104-13,Investor 3;Investor 4
122872-69,08/05/2015,10052-20;10139-41,Investor 69;Investor 161
12313-18,10/01/2007,10388-17,Investor 327
123222-34,09/02/2015,101661-13,Investor 185
123676-66,09/15/2016,10262-53,Investor 257
123750-46,09/09/2015,10133-20,Investor 155
123783-94,04/07/2016,105876-64;105977-62;106000-21;106060-60;106124-41,Investor 508;Investor 659;Investor 689;Investor 786;Investor 886
123810-67,10/22/2012,106116-94,Investor 872
12392-20,10/04/2007,10478-08,Investor 404
124049-17,03/09/2016,10108-09;105928-03,Investor 139;Investor 576
124316-11,10/01/2015,105967-00,Investor 639
124384-06,04/01/2013,103264-57,Investor 287
124608-70,04/05/2015,105887-17;106002-64;106018-03;106093-72,Investor 525;Investor 692;Investor 716;Investor 833
124609-87,07/27/2016,105980-23,Investor 664
12491-38,03/06/2008,10172-53,Investor 191
124915-87,12/30/2016,10561-06,Investor 439
125129-80,10/01/2016,10043-83;10231-12,Investor 56;Investor 228
125193-97,02/03/2016,106019-47,Investor 718
125280-64,03/24/2016,105910-30;105955-03;105983-65,Investor 556;Investor 620;Investor 668
125281-09,06/01/2015,10322-83,Investor 283
125281-27,02/05/2016,10322-83,Investor 283
125281-36,01/08/2016,10357-03,Investor 307
125370-91,01/24/2017,106014-61,Investor 709
125470-90,05/01/2015,10322-83,Investor 283
125531-29,03/16/2016,105968-71,Investor 642
125559-37,10/08/2015,104749-57,Investor 401
125582-59,07/17/2015,105983-38,Investor 666
125609-41,08/24/2015,100464-85,Investor 61
125611-93,11/19/2015,10123-03,Investor 151
125616-16,07/25/2016,10123-03;106055-20,Investor 151;Investor 777
125616-34,12/31/2015,106054-30,Investor 775
125677-27,03/15/2016,10038-79,Investor 51
125763-49,10/13/2015,10123-03,Investor 151
125805-16,08/26/2015,10322-83,Investor 283
125809-30,07/01/2014,10322-83,Investor 283
125811-28,03/04/2015,10322-83,Investor 283
125877-34,01/08/2015,100202-23,Investor 21
125998-21,05/10/2016,102495-16,Investor 254
126140-32,04/01/2016,10522-18,Investor 425
126156-97,10/21/2015,10123-03,Investor 151
126173-35,03/01/2016,105968-71,Investor 642
126189-01,01/01/2014,10042-21,Investor 54
126228-43,08/15/2015,105997-87;106097-68,Investor 684;Investor 839
126234-82,06/17/2015,106097-68,Investor 839
126271-54,05/31/2016,10043-83;10503-73,Investor 56;Investor 418
126333-46,08/13/2015,100296-28;105968-71,Investor 38;Investor 642
126334-90,03/22/2016,10382-32;105894-55;105974-56;106035-13;106116-76,Investor 322;Investor 539;Investor 652;Investor 742;Investor 871
126395-83,05/01/2014,10322-83,Investor 283
126398-89,12/01/2014,104134-87,Investor 357
126411-40,09/04/2015,106031-62,Investor 738
126491-68,10/27/2015,100685-89,Investor 100
12655-81,06/01/2007,105976-18,Investor 656
12657-07,04/14/2009,106030-63,Investor 737
126593-38,10/08/2015,10189-81,Investor 204
126596-71,10/11/2016,106040-17,Investor 752
12671-65,07/03/2008,10043-83,Investor 56
126957-61,02/03/2016,105847-12;105876-64;105883-57;105921-46;105921-64;105974-83;105976-18;106025-23;106054-39,Investor 469;Investor 508;Investor 516;Investor 569;Investor 570;Investor 654;Investor 656;Investor 731;Investor 776
127259-56,01/03/2017,10215-73,Investor 216
12749-59,09/18/2008,10048-15;10236-43,Investor 64;Investor 234
12751-84,11/18/2011,105976-18;106049-26;106072-21,Investor 656;Investor 768;Investor 804
12758-32,01/17/2007,10134-73;10195-75,Investor 156;Investor 211
12758-86,05/30/2008,10195-75;106008-13,Investor 211;Investor 700
127581-94,08/15/2016,10331-11,Investor 291
12759-31,03/23/2007,10195-75;106008-13;106036-12,Investor 211;Investor 700;Investor 744
12759-67,01/19/2007,10195-75,Investor 211
12760-39,09/30/2014,10195-75,Investor 211
127754-47,11/05/2015,10123-03;105974-83,Investor 151;Investor 654
12798-28,06/11/2008,10458-73,Investor 384
128074-78,06/01/2011,101911-69,Investor 206
128409-67,04/19/2016,105993-28,Investor 681
128480-77,08/15/2015,103873-06,Investor 326
12873-34,02/11/2008,10068-04,Investor 98
12874-24,10/21/2009,10068-04,Investor 98
12874-51,02/23/2009,10068-04,Investor 98
12875-68,11/06/2007,10068-04,Investor 98
12876-76,12/31/2007,10068-04,Investor 98
12878-20,07/23/2007,10068-04,Investor 98
12878-56,07/27/2009,10068-04,Investor 98
128876-50,04/01/2016,102376-00,Investor 237
12892-24,09/12/2011,10013-77;10181-17,Investor 8;Investor 196
129014-92,04/07/2016,10123-03,Investor 151
12904-93,08/25/2009,10063-72,Investor 93
129047-77,08/03/2015,105847-84,Investor 470
129118-24,11/05/2015,106067-89,Investor 795
129121-57,07/27/2015,10322-83,Investor 283
129121-66,11/06/2015,100296-28;10139-41;106088-23,Investor 38;Investor 161;Investor 822
129267-55,11/02/2015,100881-19,Investor 121
13097-98,04/23/2008,10121-86;10271-98,Investor 150;Investor 264
13128-13,08/15/2008,10171-45;10250-29,Investor 189;Investor 255
13128-67,03/06/2008,10070-83;10171-45,Investor 102;Investor 189
13130-92,07/03/2007,10019-17,Investor 16
13164-40,01/08/2008,10015-39,Investor 13
13165-30,05/14/2007,10015-39,Investor 13
13171-51,02/10/2009,10062-19,Investor 88
13171-78,11/19/2007,10062-19,Investor 88
13172-32,03/04/2008,10062-19,Investor 88
13183-84,07/30/2007,10446-40,Investor 376
13184-92,06/05/2007,10446-40,Investor 376
13187-98,10/25/2007,10538-74,Investor 431
13212-46,03/20/2007,10070-83,Investor 102
13212-91,09/20/2011,10070-83,Investor 102
13224-97,09/14/2007,105862-33;106067-17,Investor 491;Investor 793
13229-38,02/16/2007,10070-83,Investor 102
13234-24,12/24/2008,10382-32,Investor 322
13242-70,10/02/2008,10250-29,Investor 255
132493-15,01/21/2016,10130-23,Investor 152
132803-38,09/02/2016,10135-81,Investor 157
13283-11,11/14/2007,10077-85;10109-26,Investor 115;Investor 141
13283-20,08/20/2007,10077-85,Investor 115
13284-46,11/09/2007,10077-85,Investor 115
13284-73,05/22/2008,10077-85,Investor 115
13285-09,06/18/2007,10077-85,Investor 115
13285-99,09/04/2007,10077-85,Investor 115
13287-07,02/01/2007,10077-85,Investor 115
13287-43,07/08/2008,10077-85,Investor 115
13292-56,02/07/2008,10144-09;10242-91,Investor 166;Investor 245
13292-83,02/04/2008,10242-91,Investor 245
13293-82,02/14/2008,10242-91,Investor 245
133140-16,06/02/2016,104730-94,Investor 397
133154-47,10/01/2015,105890-50,Investor 531
13328-83,04/17/2008,10139-41,Investor 161
13328-92,08/15/2007,105945-22,Investor 604
13331-98,06/07/2007,10181-17,Investor 196
13354-21,05/29/2007,10364-77,Investor 311
13392-28,08/10/2007,10135-81,Investor 157
134036-02,01/19/2016,106036-21,Investor 745
134195-59,01/23/2017,104041-09,Investor 348
13431-79,06/29/2010,105859-09;106013-53,Investor 488;Investor 707
13468-33,10/14/2010,10215-73,Investor 216
134819-56,09/20/2016,10133-20,Investor 155
13488-04,07/25/2007,10607-05,Investor 800
135504-55,03/01/2015,101930-41,Investor 209
135786-79,11/29/2009,105884-65;105927-94;105930-91;106037-38;106060-60,Investor 520;Investor 575;Investor 583;Investor 748;Investor 786
135903-25,03/01/2015,106070-32,Investor 799
135950-23,04/15/2012,10322-83,Investor 283
136537-84,09/06/2016,10581-22,Investor 457
137065-51,09/07/2016,10042-21,Investor 54
138159-19,11/22/2016,10135-81,Investor 157
139907-71,12/02/2015,105884-65;106041-70;106062-40,Investor 520;Investor 755;Investor 788
14139-10,03/19/2007,10123-03;10382-41;106081-12,Investor 151;Investor 323;Investor 812
14146-93,06/25/2007,10228-51;10445-23,Investor 225;Investor 374
14181-58,07/17/2008,10123-03,Investor 151
14195-62,02/02/2010,10241-02,Investor 240
14195-89,04/01/2007,106092-64,Investor 830
14196-25,05/10/2007,10610-65,Investor 857
144234-01,02/01/2012,10322-83,Investor 283
145152-01,10/13/2016,10133-20,Investor 155
146286-28,10/12/2016,10018-18,Investor 15
14767-57,03/01/2016,10382-41,Investor 323
148076-20,10/15/2015,106072-21,Investor 804
148076-83,04/24/2015,106072-21,Investor 804
148186-27,06/24/2016,106054-30,Investor 775
148227-76,01/31/2017,102197-62;105669-19,Investor 221;Investor 444
148824-28,01/01/2015,105939-37,Investor 594
148844-98,08/13/2015,10241-02,Investor 240
148915-00,12/03/2015,105856-66;106062-40,Investor 482;Investor 788
148929-58,11/22/2016,106119-46,Investor 880
149091-85,09/25/2014,105968-71,Investor 642
149354-29,06/28/2016,105953-14;106022-53,Investor 617;Investor 726
149416-12,03/08/2016,106039-45,Investor 750
149519-89,09/17/2015,10445-23,Investor 374
149716-90,06/12/2014,106029-28;106125-76,Investor 734;Investor 890
149896-18,08/30/2016,10175-14,Investor 193
149981-41,06/08/2016,105847-84;105908-59;105983-65;106003-18;106035-94,Investor 470;Investor 554;Investor 668;Investor 693;Investor 743
149992-03,12/18/2015,106125-94,Investor 891
150076-09,09/01/2015,105830-38,Investor 459
150293-98,11/18/2015,10072-27;106063-39;106104-88,Investor 104;Investor 790;Investor 855
150350-14,12/28/2015,105928-21;105940-36,Investor 577;Investor 596
150487-75,04/08/2016,105847-12;105870-79,Investor 469;Investor 500
150516-91,08/09/2016,106015-96;106054-30,Investor 713;Investor 775
150534-73,05/30/2016,102354-67,Investor 232
150606-73,02/01/2016,10067-86,Investor 97
150645-88,10/25/2016,105876-64,Investor 508
150694-75,01/04/2017,10355-14,Investor 305
150699-07,01/04/2016,10052-20,Investor 69
150728-50,02/15/2015,105938-11,Investor 591
150953-32,12/29/2015,10249-30,Investor 252
150985-18,01/07/2016,105884-29,Investor 518
151068-88,01/31/2014,10108-09,Investor 139
151373-44,01/12/2016,10134-73;10573-75,Investor 156;Investor 446
151379-20,06/22/2016,100464-85,Investor 61
151416-91,11/11/2015,103429-54,Investor 298
151434-91,03/29/2007,105903-19,Investor 548
151522-39,04/29/2016,10463-23;105847-84,Investor 389;Investor 470
152034-67,09/28/2016,105918-31,Investor 564
152055-64,12/28/2016,10134-73,Investor 156
152216-29,01/19/2016,10242-91,Investor 245
152276-68,01/20/2016,10297-90;105847-84;105863-95,Investor 272;Investor 470;Investor 494
152287-21,10/18/2016,106054-30,Investor 775
152634-70,12/21/2015,105986-62,Investor 672
152730-82,02/12/2016,105847-84,Investor 470
152767-81,05/23/2016,10463-23,Investor 389
152840-08,01/01/2016,10322-83,Investor 283
152862-67,09/12/2014,105971-86,Investor 647
153082-72,09/25/2015,105847-84,Investor 470
153145-27,05/15/2015,105886-27,Investor 523
153151-93,07/05/2016,10463-23,Investor 389
153230-95,02/05/2016,105940-36;106083-64,Investor 596;Investor 816
153351-46,11/23/2016,10134-73;10352-89;10560-70,Investor 156;Investor 302;Investor 438
153418-96,11/01/2014,101911-69,Investor 206
153441-91,02/09/2016,106020-28,Investor 721
153476-11,11/02/2015,106049-71,Investor 769
153477-28,02/09/2016,10075-78,Investor 112
153484-75,04/01/2009,10070-83;10573-75,Investor 102;Investor 446
153812-26,02/16/2016,106054-30,Investor 775
153899-74,02/17/2016,10051-21,Investor 68
154272-79,08/02/2016,10322-83,Investor 283
154389-34,01/01/2016,100881-19;102495-16,Investor 121;Investor 254
154775-53,07/11/2016,105903-19;106052-23,Investor 548;Investor 772
154809-46,06/01/2015,10123-03,Investor 151
154810-81,12/07/2015,10123-03,Investor 151
154896-76,12/07/2016,105501-25,Investor 433
154935-91,03/03/2016,10062-19,Investor 88
155069-47,06/02/2016,10049-14,Investor 66
155086-21,06/14/2016,102495-16,Investor 254
155092-06,05/12/2016,105993-28,Investor 681
155107-63,12/21/2016,105884-65;106117-84,Investor 520;Investor 874
155119-06,10/10/2016,106125-13,Investor 888
155179-27,09/19/2016,10345-78,Investor 299
155181-43,09/15/2016,10139-41,Investor 161
155190-16,03/09/2016,10072-27;106015-06,Investor 104;Investor 711
155286-01,09/17/2015,105876-55,Investor 507
155323-99,03/10/2016,106029-28,Investor 734
155356-84,03/10/2016,104549-23,Investor 382
155451-79,05/03/2016,10133-20;105848-56;105913-27,Investor 155;Investor 472;Investor 557
155538-01,09/15/2016,105950-17,Investor 612
155618-02,02/01/2016,105863-23,Investor 493
155798-29,07/28/2016,104345-02,Investor 369
155808-64,12/05/2015,105863-95,Investor 494
155871-28,12/19/2016,105885-46,Investor 521
155877-67,11/30/2015,10560-70,Investor 438
155925-46,03/23/2016,105857-20,Investor 484
155945-17,06/03/2016,105884-65;105977-62,Investor 520;Investor 659
155951-02,12/04/2015,103264-75,Investor 288
155954-35,05/12/2016,105857-20;106035-13;106041-70;106114-06,Investor 484;Investor 742;Investor 755;Investor 866
155954-98,12/28/2016,10139-41,Investor 161
156015-91,10/20/2016,102376-00,Investor 237
156031-93,01/27/2017,106022-53,Investor 726
156244-06,12/01/2015,101626-39,Investor 179
156352-60,10/06/2016,106060-60,Investor 786
156382-03,02/15/2017,10134-73,Investor 156
156489-76,07/25/2016,10023-13,Investor 24
156598-39,02/09/2017,10042-21;102645-82,Investor 54;Investor 259
156662-47,04/06/2016,10134-73,Investor 156
156742-75,07/27/2016,10135-81,Investor 157
156743-11,01/18/2017,10139-41,Investor 161
156788-47,04/07/2016,10241-02,Investor 240
156919-15,08/01/2015,106100-92,Investor 844
157119-49,04/07/2016,10453-33,Investor 380
157222-63,07/26/2016,106083-64,Investor 816
157319-83,12/15/2014,106114-06,Investor 866
157413-88,10/19/2016,10139-41;10463-23,Investor 161;Investor 389
157889-44,03/01/2015,104710-42,Investor 394
157893-67,09/21/2015,103272-40,Investor 289
157911-85,04/22/2016,105863-23,Investor 493
158106-07,07/12/2016,10522-18,Investor 425
158561-29,05/05/2016,105847-12,Investor 469
158591-89,05/05/2016,106063-39,Investor 790
158710-33,05/09/2016,10139-41,Investor 161
158754-43,05/10/2016,10133-20;106040-17,Investor 155;Investor 752
158792-77,06/01/2015,106031-62;106102-00,Investor 738;Investor 848
158995-90,10/01/2012,106120-99,Investor 881
158999-32,06/28/2016,106037-38,Investor 748
159165-91,05/17/2016,106093-99,Investor 835
159360-85,05/19/2016,10453-96,Investor 381
159415-03,05/19/2016,10463-23,Investor 389
160000-12,09/01/2015,10139-41,Investor 161
160217-83,07/14/2016,105894-55;106116-76,Investor 539;Investor 871
160218-82,07/22/2016,105859-36;106012-27;106035-13;106052-23;106125-94,Investor 489;Investor 706;Investor 742;Investor 772;Investor 891
160316-20,02/01/2016,105977-62,Investor 659
160384-24,05/27/2016,10134-73,Investor 156
160529-59,12/20/2015,10464-31,Investor 391
160538-86,06/01/2016,10373-86,Investor 317
160606-54,06/01/2016,106114-06,Investor 866
160936-66,06/07/2016,10357-21,Investor 308
161209-18,02/03/2016,10134-73,Investor 156
161550-55,10/20/2014,10366-57,Investor 313
161883-46,04/04/2016,10139-41,Investor 161
162335-08,07/07/2016,10123-03,Investor 151
162339-13,07/07/2016,10123-03,Investor 151
162645-40,07/14/2016,10014-49;101642-77,Investor 10;Investor 181
162754-03,06/01/2016,10357-03,Investor 307
162977-05,06/01/2016,100927-99,Investor 126
163223-02,01/03/2017,10123-03,Investor 151
163256-14,12/09/2016,105986-71;106012-27,Investor 673;Investor 706
163570-96,08/02/2016,105967-00,Investor 639
163658-80,02/01/2016,103211-47,Investor 282
163805-32,10/09/2016,106004-26;106063-66,Investor 694;Investor 791
163845-10,02/01/2016,103211-47,Investor 282
163944-28,07/01/2014,10123-03,Investor 151
164313-37,07/12/2016,10242-91;104134-87,Investor 245;Investor 357
164355-31,12/01/2016,106041-70,Investor 755
164409-94,08/01/2016,100532-62,Investor 71
165934-27,12/01/2015,105847-84,Investor 470
166264-75,09/12/2016,105887-17,Investor 525
166306-78,09/26/2016,10052-20;10156-69,Investor 69;Investor 174
166330-00,07/01/2015,105968-71;105993-28;106035-13,Investor 642;Investor 681;Investor 742
166360-06,10/22/2016,10123-03,Investor 151
166514-50,11/14/2016,105928-21,Investor 577
166725-73,09/22/2016,100328-50,Investor 40
166769-29,02/07/2017,10141-57,Investor 164
166949-65,10/06/2016,10109-26,Investor 141
167096-35,11/30/2016,105928-21,Investor 577
167110-66,11/18/2016,10075-78,Investor 112
167134-06,10/21/2016,106022-53;106085-44,Investor 726;Investor 819
167347-09,10/19/2016,105915-97,Investor 561
167364-55,10/20/2016,10139-41,Investor 161
167624-92,11/07/2016,102376-00;105885-46,Investor 237;Investor 521
167819-86,11/01/2016,106067-17,Investor 793
167867-83,11/02/2016,10123-03,Investor 151
167959-27,11/03/2016,10123-03,Investor 151
168018-58,07/29/2016,101642-77,Investor 181
168227-92,11/16/2016,10134-73,Investor 156
168265-18,11/17/2016,10139-41,Investor 161
168282-19,11/17/2016,10022-14,Investor 23
168429-25,11/23/2016,105863-23,Investor 493
168555-61,11/30/2016,10241-02,Investor 240
168599-89,11/18/2016,10134-73,Investor 156
168630-40,11/29/2016,10051-21,Investor 68
168660-91,11/28/2016,105953-14,Investor 617
168709-51,12/06/2016,10156-69,Investor 174
168888-25,02/17/2016,105884-29;106007-68,Investor 518;Investor 699
169113-07,01/01/2014,10139-41,Investor 161
169257-52,12/19/2016,105858-55;106054-39,Investor 486;Investor 776
169329-52,08/28/2015,10039-51,Investor 52
169520-77,09/23/2016,101903-14,Investor 205
169793-83,01/17/2017,10195-75,Investor 211
169826-86,01/18/2017,10212-22,Investor 213
169866-82,01/19/2017,10134-73,Investor 156
170162-74,01/31/2017,10135-81,Investor 157
170321-05,02/07/2017,10052-20,Investor 69
170362-99,02/08/2017,10134-73,Investor 156
25261-30,11/25/2008,10052-20;10133-20,Investor 69;Investor 155
25305-58,10/05/2009,10181-17,Investor 196
26857-00,04/25/2007,10052-20,Investor 69
40424-95,03/16/2007,10442-62,Investor 371
40437-91,03/26/2009,10109-26,Investor 141
40461-04,10/28/2008,10241-02,Investor 240
40646-08,03/09/2009,10135-81,Investor 157
40647-61,01/08/2009,10236-43,Investor 234
40680-10,05/16/2007,10043-83,Investor 56
40694-86,04/06/2010,106052-68,Investor 773
40698-73,08/15/2007,106099-03,Investor 842
40699-45,10/16/2007,101325-97;105848-38;105949-99;106014-88;106099-03,Investor 154;Investor 471;Investor 611;Investor 710;Investor 842
40701-25,03/12/2007,10134-73,Investor 156
40723-66,11/30/2007,10156-69,Investor 174
40723-75,06/30/2010,10156-69,Investor 174
40727-71,07/01/2009,105872-95;106104-79,Investor 502;Investor 854
40734-46,07/30/2008,10043-83,Investor 56
40843-09,07/09/2007,10134-73,Investor 156
40843-54,09/20/2007,105945-22,Investor 604
40843-81,02/01/2008,105893-83,Investor 537
40844-71,06/24/2009,10335-25,Investor 294
40846-96,08/08/2008,106111-63,Investor 861
40847-95,09/01/2010,106029-55,Investor 735
40993-21,01/04/2007,10048-33,Investor 65
41116-87,06/14/2011,105929-65,Investor 582
41319-28,02/04/2008,10242-91,Investor 245
41629-15,04/08/2011,10052-20;105965-56;105976-54;106079-23,Investor 69;Investor 637;Investor 657;Investor 811
41699-35,09/12/2007,10482-49,Investor 409
41728-33,02/25/2008,106054-30,Investor 775
42156-82,04/06/2010,10241-02;10521-46,Investor 240;Investor 423
42161-59,10/30/2008,10134-73,Investor 156
42161-86,01/16/2008,10172-53,Investor 191
42161-95,01/03/2008,10445-23,Investor 374
42162-76,01/12/2010,10241-02,Investor 240
42166-99,02/01/2008,10181-17,Investor 196
42199-57,07/01/2009,10137-79,Investor 159
42200-02,09/17/2008,10133-20,Investor 155
42213-25,01/15/2008,105945-22;106030-63;106036-75;106062-40,Investor 604;Investor 737;Investor 747;Investor 788
42226-12,07/28/2010,10123-03;106116-94;106118-02,Investor 151;Investor 872;Investor 876
42226-75,09/07/2007,106072-21,Investor 804
42281-83,08/21/2008,10141-66,Investor 165
42444-64,03/31/2008,10154-71,Investor 172
42462-19,01/11/2010,10121-86,Investor 150
42487-66,08/26/2014,10123-03,Investor 151
42514-66,12/10/2009,10133-20,Investor 155
42533-02,08/28/2016,10331-11,Investor 291
42705-19,02/05/2008,10181-17;10215-64,Investor 196;Investor 215
42705-55,02/12/2007,10181-17,Investor 196
42706-36,05/22/2007,10181-17,Investor 196
42706-63,09/01/2007,105847-84;105927-94;106114-06;106116-94,Investor 470;Investor 575;Investor 866;Investor 872
42707-08,01/19/2007,10181-17,Investor 196
42708-16,06/30/2011,10181-17,Investor 196
42709-33,01/01/2008,10052-20;10181-17,Investor 69;Investor 196
42709-51,02/04/2008,10181-17;10215-64,Investor 196;Investor 215
42709-60,05/27/2009,10181-17,Investor 196
42710-14,05/06/2007,10181-17,Investor 196
42710-23,12/07/2007,10181-17,Investor 196
42710-50,06/19/2008,10181-17,Investor 196
42710-59,02/09/2009,10181-17,Investor 196
42711-04,02/04/2010,10181-17;10241-02,Investor 196;Investor 240
42730-84,06/29/2007,10236-43,Investor 234
42730-93,03/14/2007,10236-43,Investor 234
42731-11,10/10/2008,10022-14;10236-43,Investor 23;Investor 234
42731-20,11/12/2008,10236-43,Investor 234
42731-38,02/11/2008,10236-43,Investor 234
42734-98,06/21/2007,10068-22,Investor 99
42753-34,05/06/2008,105950-17;105980-23;106036-12,Investor 612;Investor 664;Investor 744
42778-54,03/10/2008,10070-83,Investor 102
42782-05,03/12/2008,10139-41;105950-17;106036-12;106092-73,Investor 161;Investor 612;Investor 744;Investor 831
42805-54,01/09/2008,10109-26,Investor 141
42831-10,10/17/2009,10444-24;10573-75;10581-22,Investor 373;Investor 446;Investor 457
42831-28,08/09/2012,10446-40,Investor 376
42858-19,01/01/2011,10322-83,Investor 283
42859-18,04/09/2010,10573-75;105965-56;106054-39;106081-66,Investor 446;Investor 637;Investor 776;Investor 813
42867-64,06/10/2008,10117-54,Investor 147
42873-22,11/23/2009,10079-56,Investor 116
42900-76,05/01/2007,10237-24,Investor 235
42902-56,08/23/2007,10070-83;10139-41,Investor 102;Investor 161
42921-19,03/27/2013,10135-81,Investor 157
42923-44,04/01/2010,10139-41;105974-83;105984-19,Investor 161;Investor 654;Investor 670
42936-40,09/27/2013,10339-57;10446-40,Investor 297;Investor 376
42954-13,09/20/2008,106072-21,Investor 804
43006-24,06/01/2007,106007-68,Investor 699
43007-23,05/26/2010,10446-40,Investor 376
43007-68,09/03/2008,10068-04,Investor 98
43008-40,03/10/2011,10509-85,Investor 422
43012-63,05/27/2010,10052-20;105893-83;105986-62;106067-89,Investor 69;Investor 537;Investor 672;Investor 795
43012-72,10/01/2008,106085-44,Investor 819
43016-32,06/01/2009,105940-36;106009-93,Investor 596;Investor 703
43016-41,02/16/2010,105940-36,Investor 596
43016-50,04/29/2010,105864-94;105928-21;105940-36,Investor 496;Investor 577;Investor 596
43016-59,12/04/2009,105940-36,Investor 596
43019-92,06/02/2010,10123-03,Investor 151
43020-91,01/04/2008,105949-99;106047-73,Investor 611;Investor 765
43024-69,08/15/2008,105930-91;106014-88,Investor 583;Investor 710
43028-11,06/02/2010,106015-42,Investor 712
43028-65,10/13/2009,10048-33,Investor 65
43031-26,02/26/2011,10062-19,Investor 88
43035-67,10/14/2009,105972-49,Investor 649
43037-02,01/27/2010,10077-85;10437-94;10507-24,Investor 115;Investor 370;Investor 420
43043-68,06/08/2010,10334-35,Investor 293
43054-03,12/11/2008,10135-81,Investor 157
43054-57,07/28/2009,10461-25,Investor 387
43063-39,08/22/2008,10052-20,Investor 69
43080-49,03/22/2010,10133-20;105943-87;105984-19;106104-88,Investor 155;Investor 602;Investor 670;Investor 855
43080-76,05/19/2010,106040-17,Investor 752
43081-03,06/14/2010,10052-20;105915-97;106093-90,Investor 69;Investor 561;Investor 834
43081-84,06/15/2010,10242-91,Investor 245
43089-40,06/18/2010,10052-20,Investor 69
43089-49,06/15/2010,10133-20,Investor 155
43096-87,09/12/2009,105891-31;105949-45,Investor 535;Investor 610
43099-57,04/27/2009,106072-21,Investor 804
43104-88,07/11/2007,105927-94;105939-37;106040-17;106060-33;106120-99;106124-86,Investor 575;Investor 594;Investor 752;Investor 785;Investor 881;Investor 887
43104-97,12/02/2009,105927-94;106007-68;106015-06;106060-33;106067-89;106104-88,Investor 575;Investor 699;Investor 711;Investor 785;Investor 795;Investor 855
43105-06,06/01/2009,105859-09;106007-68,Investor 488;Investor 699
43105-15,08/19/2009,105927-94,Investor 575
43105-24,03/05/2010,105872-14;106007-68,Investor 501;Investor 699
43107-94,12/31/2013,10322-83,Investor 283
43114-06,11/07/2007,10139-41,Investor 161
43117-93,06/24/2010,105945-22;106039-72;106040-17,Investor 604;Investor 751;Investor 752
43120-09,05/15/2009,106007-68;106033-87;106067-89;106128-19,Investor 699;Investor 740;Investor 795;Investor 894
43122-70,06/28/2010,10322-83;105897-16,Investor 283;Investor 541
43127-20,03/14/2008,10048-15,Investor 64
43127-29,06/24/2008,10037-35,Investor 48
43127-83,01/17/2013,10139-41,Investor 161
43128-46,09/04/2009,106002-10;106030-63;106067-89;106118-02;106120-99;106128-19,Investor 691;Investor 737;Investor 795;Investor 876;Investor 881;Investor 894
43128-64,12/19/2007,106118-02,Investor 876
43128-82,03/30/2009,105893-83;105927-94;105955-84;105976-18;105983-02;106007-68;106013-53;106014-88;106047-64;106099-03;106104-88;106118-02,Investor 537;Investor 575;Investor 622;Investor 656;Investor 665;Investor 699;Investor 707;Investor 710;Investor 764;Investor 842;Investor 855;Investor 876
43129-45,04/14/2008,105924-61;106124-86,Investor 572;Investor 887
43130-89,06/29/2010,10232-83,Investor 230
43133-32,02/09/2007,10146-16,Investor 167
43133-77,06/28/2010,105891-31;106054-30;106067-89;106113-34;106114-06;106124-86,Investor 535;Investor 775;Investor 795;Investor 864;Investor 866;Investor 887
43139-44,06/28/2007,10461-25,Investor 387
43208-47,07/09/2008,106035-13;106036-12;106049-26;106111-63,Investor 742;Investor 744;Investor 768;Investor 861
43225-39,02/24/2009,10241-02,Investor 240
