deal_id|company_id|deal_number|deal_date|deal_status|deal_size|last_updated
57150-55T|100818-91|6|09/08/2015|11|0.5|02/15/2017
52365-79T|100820-62|1|02/06/2013|11|0.15|02/15/2017
52366-06T|100820-62|2|02/14/2014|11|0.15|02/15/2017
54561-61T|100824-31|1|09/17/2014|11|1.5|02/15/2017
47187-82T|100826-29|1|09/12/2012|11|0.7|02/15/2017
62103-70T|100834-30|5|02/21/2015|11|0.29|02/15/2017
70158-07T|100835-29|1|12/14/2014|11|0.8|02/15/2017
65230-75T|100836-01|1|07/01/2014|11|0.4|02/15/2017
48280-60T|100838-35|1|10/01/2013|11|2.5|02/15/2017
57549-34T|100838-35|3|09/16/2015|11|15.5|02/15/2017
57839-32T|100847-26|3|09/21/2015|11||02/15/2017
61568-29T|100847-53|1|10/01/2014|11||02/15/2017
61568-47T|100847-53|2|02/15/2015|11|0.13|02/15/2017
55863-28T|100849-78|1|05/21/2014|11|0.18|02/15/2017
55502-20T|100850-95|1|10/01/2014|11|0.35|02/15/2017
54573-13T|100851-58|1|12/10/2013|11|1.07|02/15/2017
69470-74T|100856-89|4|04/26/2016|11|2.0|02/15/2017
60821-83T|100865-44|1|01/01/2012|11||02/15/2017
68520-52T|100866-61|3|06/20/2016|9|2.0|02/15/2017
72205-57T|100867-06|1|08/01/2014|11|0.4|02/15/2017
72205-84T|100867-06|4|12/31/2015|11|1.8|02/15/2017
61905-70T|100872-19|1|03/15/2014|11|0.03|02/15/2017
61752-25T|100881-91|1|03/31/2014|11|0.6|02/15/2017
54571-78T|100881-91|2|12/31/2014|11|0.86|02/15/2017
78022-72T|100881-91|4|11/03/2016|11|2.5|02/15/2017
70143-94T|100885-24|2|06/01/2015|11|1.0|02/15/2017
70144-30T|100885-24|3|08/18/2016|11|3.5|02/15/2017
61893-73T|100887-58|1|09/25/2014|11|0.03|02/15/2017
54574-48T|100890-37|1|07/01/2013|11|1.25|02/15/2017
52200-64T|100892-80|1|07/15/2015|11|0.25|02/15/2017
56727-46T|100900-18|1|03/01/2009|11|0.01|02/15/2017
66400-30T|100901-17|1|07/15/2015|11|8.7|02/15/2017
46049-23T|100909-18|1|12/25/2014|11|1.52|02/15/2017
77155-75T|100918-81|1|10/01/2014|11|1.3|02/15/2017
48610-09T|100918-81|2|09/09/2016|11|11.0|02/15/2017
56383-03T|100919-98|1|05/03/2014|11|0.74|02/15/2017
56651-14T|100924-93|2|06/01/2015|11||02/15/2017
52082-56T|100927-54|3|06/19/2015|11|1.2|02/15/2017
40715-29T|100933-30|1|07/28/2009|11|1.5|02/15/2017
56384-29T|100944-10|1|01/01/2013|11|2.4|02/15/2017
56621-71T|100953-19|2|12/31/2014|11|0.08|02/15/2017
69662-71T|100955-62|1|04/30/2014|11|0.18|02/15/2017
56804-59T|100955-62|2|09/03/2015|11|2.51|02/15/2017
54593-65T|100956-70|1|06/28/2014|11|0.5|02/15/2017
44865-01T|100958-95|1|09/01/2014|11|0.7|02/15/2017
57398-86T|100958-95|3|03/15/2015|11|0.5|02/15/2017
59287-42T|100958-95|4|10/14/2015|11|4.58|02/15/2017
81553-42T|100958-95|5|01/25/2017|11|12.0|02/15/2017
52844-32T|100963-27|1|09/19/2014|11|1.1|02/15/2017
62388-10T|100963-27|2|02/04/2016|11|5.0|02/15/2017
55875-07T|100963-36|1|01/09/2008|11|0.28|02/15/2017
50937-13T|100964-80|2|08/26/2013|11|0.45|02/15/2017
51606-01T|100973-08|2|09/16/2014|11|0.75|02/15/2017
52821-64T|100978-30|2|08/01/2014|11||02/15/2017
45715-87T|100993-33|2|12/03/2014|11|0.5|02/15/2017
55203-67T|100993-33|3|08/10/2015|11|2.02|02/15/2017
55785-16T|100997-92|1|04/12/2016|11|1.15|02/15/2017
61594-75T|101001-79|1|01/01/2013|11||02/15/2017
56778-13T|101006-11|1|12/31/2013|11|6.22|02/15/2017
70199-02T|101006-20|1|01/01/2012|11|0.8|02/15/2017
44935-12T|101006-74|2|04/29/2015|11|1.6|02/15/2017
56745-01T|101011-51|1|09/01/2014|11|0.05|02/15/2017
61579-27T|101014-57|1|10/30/2014|11||02/15/2017
61958-53T|101017-99|1|01/01/2013|11||02/15/2017
55786-15T|101025-28|1|01/07/2014|11|0.4|02/15/2017
67275-73T|101025-55|2|01/01/2015|11|0.12|02/15/2017
54590-77T|101033-02|1|11/01/2012|11|1.5|02/15/2017
56828-17T|101036-35|1|11/01/2013|11|0.03|02/15/2017
53636-32T|101047-33|1|01/01/2011|11|1.5|02/15/2017
53636-41T|101047-33|2|11/01/2013|11|1.0|02/15/2017
44789-95T|101057-59|2|11/13/2014|11|0.11|02/15/2017
56821-51T|101060-38|1|12/15/2012|11|0.05|02/15/2017
56821-78T|101060-38|2|11/05/2013|11|0.17|02/15/2017
78256-45T|101060-65|3|11/09/2016|11|2.0|02/15/2017
46604-62T|101066-86|1|03/03/2015|11|2.0|02/15/2017
61593-67T|101068-57|1|08/01/2014|11||02/15/2017
52893-82T|101070-64|1|09/04/2014|11|2.0|02/15/2017
50497-12T|101071-99|1|05/14/2014|11|0.4|02/15/2017
52078-42T|101075-86|1|01/23/2014|11|0.73|02/15/2017
65604-43T|101077-30|4|12/10/2015|11|3.0|02/15/2017
54013-69T|101078-65|1|07/21/2015|11|2.0|02/15/2017
71893-18T|101078-65|2|09/13/2016|11|2.0|02/15/2017
59564-35T|101091-88|1|05/29/2015|11|0.5|02/15/2017
61741-09T|101095-48|2|11/23/2015|11|0.54|02/15/2017
45943-12T|101124-46|2|01/15/2015|11|0.5|02/15/2017
57326-77T|101127-61|1|09/10/2015|11|1.0|02/15/2017
69479-38T|101127-88|2|04/20/2016|11|0.5|02/15/2017
56889-46T|101131-03|1|06/01/2009|11|0.2|02/15/2017
56889-82T|101131-03|2|01/01/2010|11|0.2|02/15/2017
52054-57T|101132-47|2|06/17/2015|11|0.15|02/15/2017
53525-53T|101138-32|1|03/15/2013|11|2.0|02/15/2017
53525-62T|101138-32|2|05/30/2013|11|25.0|02/15/2017
56856-07T|101150-38|1|09/01/2013|11|0.13|02/15/2017
79358-05T|101152-72|4|12/05/2016|9|1.0|02/15/2017
64156-87T|101155-42|1|01/06/2016|11|0.84|02/15/2017
49511-62T|101156-68|1|01/20/2015|11|34.52|02/15/2017
62249-05T|101168-29|2|11/30/2015|11|1.95|02/15/2017
57665-44T|101169-19|3|11/04/2015|11|0.86|02/15/2017
54666-91T|101175-04|1|12/31/2013|11|1.0|02/15/2017
61597-18T|101176-30|1|10/01/2014|11||02/15/2017
53645-59T|101176-48|1|02/11/2013|11|5.0|02/15/2017
78878-26T|101176-48|2|11/30/2016|11|22.0|02/15/2017
50021-47T|101176-93|2|03/17/2015|11|2.3|02/15/2017
50553-19T|101189-89|2|09/12/2014|11|0.1|02/15/2017
54894-25T|101206-45|3|08/25/2015|11|9.4|02/15/2017
61166-53T|101210-05|1|09/01/2014|11||02/15/2017
44660-62T|101212-21|1|01/20/2015|11|2.8|02/15/2017
52935-58T|101214-01|1|10/27/2014|11|1.3|02/15/2017
51798-16T|101215-54|4|08/11/2016|11|1.15|02/15/2017
49759-03T|101216-62|1|04/17/2015|11|2.2|02/15/2017
68256-82T|101224-90|1|12/08/2014|11||02/15/2017
55791-91T|101231-83|1|01/11/2008|11|0.3|02/15/2017
56895-58T|101232-55|1|12/10/2013|11|0.23|02/15/2017
56895-67T|101232-55|2|10/19/2014|11|0.2|02/15/2017
61452-91T|101234-53|2|11/01/2014|11|0.23|02/15/2017
58019-32T|101241-82|1|04/01/2013|11|0.02|02/15/2017
54835-93T|101250-37|1|04/04/2014|11|0.55|02/15/2017
55676-53T|101265-85|1|06/18/2013|11|0.4|02/15/2017
71341-03T|101267-74|1|06/08/2016|11|0.48|02/15/2017
81008-47T|101276-74|5|01/10/2017|11|7.6|02/15/2017
56910-52T|101279-26|1|03/01/2012|11|0.08|02/15/2017
49450-69T|101285-20|2|11/08/2013|11|0.45|02/15/2017
52014-52T|101286-73|1|09/10/2015|11|2.25|02/15/2017
65211-04T|101294-29|1|04/01/2014|11||02/15/2017
57127-24T|101294-29|2|12/22/2014|11||02/15/2017
58326-04T|101317-24|1|10/01/2011|11|0.25|02/15/2017
54906-13T|101317-78|1|12/01/2007|11|1.0|02/15/2017
54745-48T|101321-56|1|02/25/2014|11|0.5|02/15/2017
53806-06T|101322-01|2|12/21/2015|11|0.74|02/15/2017
56871-91T|101330-74|1|01/01/2013|11||02/15/2017
61353-46T|101330-74|2|02/21/2015|11||02/15/2017
55805-32T|101335-42|1|01/07/2014|11|0.5|02/15/2017
58292-65T|101342-62|1|01/01/2013|11|0.25|02/15/2017
45889-03T|101356-30|2|01/02/2015|11|0.48|02/15/2017
62083-00T|101356-39|1|10/01/2012|11||02/15/2017
68667-58T|101357-11|1|10/15/2014|11|0.5|02/15/2017
68665-87T|101357-11|2|10/26/2015|11|2.2|02/15/2017
54773-83T|101357-20|1|11/14/2014|11|0.99|02/15/2017
44459-74T|101358-10|1|01/13/2015|11|15.0|02/15/2017
65386-81T|101364-13|2|10/01/2015|11|0.7|02/15/2017
44645-41T|101365-48|1|10/17/2014|11|0.3|02/15/2017
67468-96T|101365-48|2|03/04/2016|11|0.75|02/15/2017
44911-81T|101368-90|2|01/27/2015|11|2.1|02/15/2017
57239-65T|101368-90|3|07/01/2015|11|10.9|02/15/2017
56934-10T|101376-91|1|11/03/2012|11|0.1|02/15/2017
57484-00T|101387-44|2|04/01/2014|11|0.27|02/15/2017
52638-85T|101390-59|2|01/21/2015|11|0.6|02/15/2017
